entity_name,headline,snippet,source,date,url,typology_gt
Northstar Logistics Ltd,Northstar Logistics Ltd linked to cartel money,Northstar Logistics Ltd denies all accusations related to money laundering found in the recent leak.,Local News Daily,2025-08-09,http://www.nunez-hudson.biz/,money_laundering
Northstar Logistics Ltd,Northstar Logistics Ltd linked to trade blacklist,New evidence suggests Northstar Logistics Ltd played a key role in a SDN list scandal.,Financial Times,2024-12-30,http://www.curtis-miranda.com/,sanctions
Northstar Logistics Ltd,Northstar Logistics Ltd linked to money laundering,Northstar Logistics Ltd denies all accusations related to cartel money found in the recent leak.,Reuters,2025-11-27,https://mora.com/,money_laundering
Northstar Logistics Ltd,Northstar Logistics Ltd linked to embargo,Authorities are investigating Northstar Logistics Ltd regarding allegations of embargo.,The Wall Street Journal,2024-07-03,http://todd-boyd.com/,sanctions
Northstar Logistics Ltd,Northstar Logistics Ltd linked to unexplained wealth,Reports indicate that Northstar Logistics Ltd was involved in significant unexplained wealth activities.,Reuters,2025-11-07,http://www.campbell-henderson.com/,money_laundering
Silverline Holdings LLC,Silverline Holdings LLC linked to defrauded investors,Authorities are investigating Silverline Holdings LLC regarding allegations of fake accounts.,Local News Daily,2024-09-19,https://bennett.biz/,fraud
Silverline Holdings LLC,Silverline Holdings LLC news update: charity event,The CEO of Silverline Holdings LLC discussed the new hiring spree at the summit.,Bloomberg,2026-01-13,https://www.pittman.org/,neutral
Silverline Holdings LLC,Silverline Holdings LLC news update: merger talks,Silverline Holdings LLC continues to show growth with its latest expansion plans.,Bloomberg,2024-04-06,https://johnson.org/,neutral
Silverline Holdings LLC,Silverline Holdings LLC linked to embezzlement,Reports indicate that Silverline Holdings LLC was involved in significant defrauded investors activities.,Financial Times,2025-05-28,https://olsen.org/,fraud
Silverline Holdings LLC,Silverline Holdings LLC linked to wire fraud,Reports indicate that Silverline Holdings LLC was involved in significant Ponzi scheme activities.,Bloomberg,2024-02-22,http://www.fisher.com/,fraud
Vertex Global Corp,Vertex Global Corp linked to kickbacks,New evidence suggests Vertex Global Corp played a key role in a kickbacks scandal.,Bloomberg,2025-05-01,http://www.long.com/,corruption
Vertex Global Corp,Vertex Global Corp linked to OFAC,The export controls investigation into Vertex Global Corp has widened to include international partners.,The Wall Street Journal,2025-10-13,http://beard.com/,sanctions
Vertex Global Corp,Vertex Global Corp linked to embargo,The SDN list investigation into Vertex Global Corp has widened to include international partners.,Local News Daily,2025-03-21,http://porter.org/,sanctions
Vertex Global Corp,Vertex Global Corp linked to securities fraud,Vertex Global Corp denies all accusations related to accounting irregularities found in the recent leak.,Reuters,2025-11-16,http://www.ho.net/,fraud
Vertex Global Corp,Vertex Global Corp linked to smurfing,Authorities are investigating Vertex Global Corp regarding allegations of cartel money.,Financial Times,2024-11-15,http://ruiz.com/,money_laundering
Ivan Petrov,Ivan Petrov linked to bribes,Reports indicate that Ivan Petrov was involved in significant FCPA activities.,The Wall Street Journal,2025-12-01,http://rogers.com/,corruption
Ivan Petrov,Ivan Petrov linked to kickbacks,New evidence suggests Ivan Petrov played a key role in a kickbacks scandal.,Global Watch,2025-08-03,https://fisher.com/,corruption
Ivan Petrov,Ivan Petrov linked to child labor,The forced labor investigation into Ivan Petrov has widened to include international partners.,Bloomberg,2025-10-06,https://www.campos.net/,human_trafficking
Ivan Petrov,Ivan Petrov linked to bribes,The foreign corrupt practices investigation into Ivan Petrov has widened to include international partners.,Bloomberg,2025-09-25,http://ortiz.org/,corruption
Ivan Petrov,Ivan Petrov linked to migrant exploitation,Ivan Petrov denies all accusations related to child labor found in the recent leak.,Bloomberg,2024-12-08,https://www.brown.com/,human_trafficking
Juan Carlos Mendoza,Juan Carlos Mendoza linked to FCPA,Reports indicate that Juan Carlos Mendoza was involved in significant corrupt official activities.,Global Watch,2024-04-01,http://www.ross-peck.com/,corruption
Juan Carlos Mendoza,Juan Carlos Mendoza linked to defaulted,Juan Carlos Mendoza denies all accusations related to insolvency found in the recent leak.,The Wall Street Journal,2025-08-10,https://williams.com/,financial_distress
Juan Carlos Mendoza,Juan Carlos Mendoza linked to smuggling ring,Reports indicate that Juan Carlos Mendoza was involved in significant modern slavery activities.,Financial Times,2025-11-05,https://davidson.com/,human_trafficking
Juan Carlos Mendoza,Juan Carlos Mendoza linked to liquidation,New evidence suggests Juan Carlos Mendoza played a key role in a debt restructuring scandal.,The Wall Street Journal,2025-09-20,http://harvey.com/,financial_distress
Juan Carlos Mendoza,Juan Carlos Mendoza linked to human trafficking,New evidence suggests Juan Carlos Mendoza played a key role in a modern slavery scandal.,Financial Times,2024-11-11,http://www.bowen-grant.com/,human_trafficking
Golden Gate Ventures,Golden Gate Ventures news update: new product launch,The CEO of Golden Gate Ventures discussed the new hiring spree at the summit.,The Wall Street Journal,2025-04-26,http://www.strong-fuentes.com/,neutral
Golden Gate Ventures,Golden Gate Ventures news update: partnership announcement,The CEO of Golden Gate Ventures discussed the new partnership announcement at the summit.,The Wall Street Journal,2024-05-25,http://hobbs.com/,neutral
Golden Gate Ventures,Golden Gate Ventures news update: merger talks,The CEO of Golden Gate Ventures discussed the new charity event at the summit.,Financial Times,2024-02-21,https://moore.net/,neutral
Golden Gate Ventures,Golden Gate Ventures news update: stock update,Golden Gate Ventures announced record breaking numbers in their recent charity event.,The Wall Street Journal,2025-07-19,http://www.nunez.net/,neutral
Golden Gate Ventures,Golden Gate Ventures news update: expansion plans,Analysts are optimistic about Golden Gate Ventures following the partnership announcement.,Global Watch,2024-11-10,http://sparks-lee.com/,neutral
Alpha Omega Solutions,Alpha Omega Solutions linked to FCPA,New evidence suggests Alpha Omega Solutions played a key role in a corrupt official scandal.,Local News Daily,2025-03-12,http://green-vasquez.org/,corruption
Alpha Omega Solutions,Alpha Omega Solutions linked to trade blacklist,The OFAC investigation into Alpha Omega Solutions has widened to include international partners.,Local News Daily,2024-10-20,http://www.smith-chandler.com/,sanctions
Alpha Omega Solutions,Alpha Omega Solutions linked to blocked entity,The sanctioned investigation into Alpha Omega Solutions has widened to include international partners.,Local News Daily,2024-07-17,https://marquez.net/,sanctions
Alpha Omega Solutions,Alpha Omega Solutions linked to pay-to-play,The foreign corrupt practices investigation into Alpha Omega Solutions has widened to include international partners.,Global Watch,2025-09-24,http://www.smith-thompson.com/,corruption
Alpha Omega Solutions,Alpha Omega Solutions linked to accounting irregularities,Alpha Omega Solutions denies all accusations related to Ponzi scheme found in the recent leak.,Reuters,2025-11-24,http://wagner.com/,fraud
Chen Wei Trading,Chen Wei Trading linked to money laundering,Authorities are investigating Chen Wei Trading regarding allegations of illicit funds.,Bloomberg,2024-04-30,http://smith-lloyd.com/,money_laundering
Chen Wei Trading,Chen Wei Trading linked to trade blacklist,Reports indicate that Chen Wei Trading was involved in significant OFAC activities.,Bloomberg,2025-07-07,https://preston.net/,sanctions
Chen Wei Trading,Chen Wei Trading linked to unexplained wealth,Reports indicate that Chen Wei Trading was involved in significant unexplained wealth activities.,Bloomberg,2025-05-16,https://www.horn.com/,money_laundering
Chen Wei Trading,Chen Wei Trading linked to OFAC,Chen Wei Trading denies all accusations related to sanctioned found in the recent leak.,The Wall Street Journal,2025-10-19,http://mathews-jones.net/,sanctions
Chen Wei Trading,Chen Wei Trading linked to illicit funds,Chen Wei Trading denies all accusations related to shell company found in the recent leak.,Reuters,2024-03-04,https://www.russell.com/,money_laundering
"Brooks, Nunez and Wilson","Brooks, Nunez and Wilson linked to migrant exploitation","Authorities are investigating Brooks, Nunez and Wilson regarding allegations of child labor.",Reuters,2025-04-15,http://holder.com/,human_trafficking
"Brooks, Nunez and Wilson","Brooks, Nunez and Wilson linked to smurfing","Brooks, Nunez and Wilson denies all accusations related to smurfing found in the recent leak.",Global Watch,2025-06-12,https://ford.com/,money_laundering
"Brooks, Nunez and Wilson","Brooks, Nunez and Wilson linked to offshore accounts","Authorities are investigating Brooks, Nunez and Wilson regarding allegations of illicit funds.",Bloomberg,2025-06-07,https://www.waller.org/,money_laundering
