text,label
Reports indicate that Rhodes-Stephenson was involved in significant human trafficking activities.,human_trafficking
The offshore accounts investigation into Ross Inc has widened to include international partners.,money_laundering
"Authorities are investigating Shelton, Long and Gonzalez regarding allegations of wire fraud.",fraud
"Reports indicate that Rush, Carlson and Taylor was involved in significant FCPA activities.",corruption
"Authorities are investigating Rodriguez, Moore and Mason regarding allegations of offshore accounts.",money_laundering
Reports indicate that Mills-Taylor was involved in significant sex trafficking activities.,human_trafficking
Authorities are investigating Green-Cole regarding allegations of human trafficking.,human_trafficking
New evidence suggests Ayala-Castillo played a key role in a bribes scandal.,corruption
"Authorities are investigating Wagner, Sandoval and Thomas regarding allegations of liquidation.",financial_distress
"New evidence suggests Fuller, Patel and Fernandez played a key role in a pay-to-play scandal.",corruption
"Reports indicate that Martin, Chang and Schultz was involved in significant liquidation activities.",financial_distress
"New evidence suggests Arnold, Moore and Espinoza played a key role in a corrupt official scandal.",corruption
New evidence suggests Cochran Group played a key role in a bankruptcy scandal.,financial_distress
Authorities are investigating Miller-King regarding allegations of smurfing.,money_laundering
New evidence suggests Reese-Palmer played a key role in a human trafficking scandal.,human_trafficking
The forced labor investigation into Stark-Richmond has widened to include international partners.,human_trafficking
The FCPA investigation into Gill PLC has widened to include international partners.,corruption
Reports indicate that Cohen Group was involved in significant modern slavery activities.,human_trafficking
The human trafficking investigation into Rubio Ltd has widened to include international partners.,human_trafficking
Analysts are optimistic about Smith-Hopkins following the hiring spree.,neutral
The shell company investigation into Trevino-Parker has widened to include international partners.,money_laundering
"The fake accounts investigation into Brewer, White and Blackburn has widened to include international partners.",fraud
"The CEO of Thomas, Bell and Bell discussed the new stock update at the summit.",neutral
Authorities are investigating Reed-Brown regarding allegations of offshore accounts.,money_laundering
"New evidence suggests Gardner, Ware and Neal played a key role in a forced labor scandal.",human_trafficking
Reports indicate that Harrison Ltd was involved in significant modern slavery activities.,human_trafficking
The bribery investigation into Fletcher-Mendez has widened to include international partners.,corruption
"The fake accounts investigation into Rhodes, Martinez and Aguirre has widened to include international partners.",fraud
"Hatfield, Cox and Stone announced record breaking numbers in their recent hiring spree.",neutral
Analysts are optimistic about Davis-Bates following the merger talks.,neutral
"Morrow, Davis and Holland denies all accusations related to trade blacklist found in the recent leak.",sanctions
New evidence suggests Cortez LLC played a key role in a sex trafficking scandal.,human_trafficking
Reeves LLC denies all accusations related to defaulted found in the recent leak.,financial_distress
"New evidence suggests Harrington, Day and Bond played a key role in a bribes scandal.",corruption
New evidence suggests Brown-Bell played a key role in a bribes scandal.,corruption
The kickbacks investigation into Jefferson Ltd has widened to include international partners.,corruption
The defaulted investigation into Holmes Ltd has widened to include international partners.,financial_distress
Reports indicate that Martinez-Porter was involved in significant Ponzi scheme activities.,fraud
"Howard, Lewis and Olson announced record breaking numbers in their recent charity event.",neutral
The modern slavery investigation into Vance PLC has widened to include international partners.,human_trafficking
Reports indicate that Camacho and Sons was involved in significant kickbacks activities.,corruption
Hogan Group denies all accusations related to wire fraud found in the recent leak.,fraud
Howard LLC denies all accusations related to chapter 11 found in the recent leak.,financial_distress
Authorities are investigating Rodriguez Group regarding allegations of bribery.,corruption
The CEO of Estes and Sons discussed the new charity event at the summit.,neutral
"Rogers, Bryant and Sexton continues to show growth with its latest partnership announcement.",neutral
"The securities fraud investigation into Palmer, Patton and Jackson has widened to include international partners.",fraud
Warren-Thompson denies all accusations related to offshore accounts found in the recent leak.,money_laundering
The accounting irregularities investigation into Wang Group has widened to include international partners.,fraud
New evidence suggests Thornton and Sons played a key role in a bankruptcy scandal.,financial_distress
"New evidence suggests Stone, Richardson and Hall played a key role in a chapter 11 scandal.",financial_distress
"Reports indicate that Davis, Cooper and Cruz was involved in significant money laundering activities.",money_laundering
The SDN list investigation into Murray-Green has widened to include international partners.,sanctions
